	 Date	 Team	 Acquired	 Relinquished	 Notes
0	2016-12-30	 Sabres	 	 • William Carrier	 hand injury (DTD)
1	2017-01-03	 Sabres	 • William Carrier	 	 returned to lineup
2	2017-01-04	 Sabres	 	 • William Carrier	 flu (DTD)
3	2017-01-10	 Sabres	 • William Carrier	 	 returned to lineup
4	2017-02-04	 Sabres	 	 • William Carrier	 knee injury (DTD)
5	2017-02-09	 Sabres	 	 • William Carrier	 placed on IR with knee injury
6	2017-03-25	 Sabres	 • William Carrier	 	 activated from IR
7	2017-11-27	 Golden Knights	 	 • William Carrier	 placed on IR with upper body injury
8	2017-11-28	 Golden Knights	 	 • William Carrier	 upper body injury (DTD)
9	2017-11-30	 Golden Knights	 	 • William Carrier	 placed on IR with upper body injury
10	2018-01-04	 Golden Knights	 • William Carrier	 	 activated from IR
11	2018-02-06	 Golden Knights	 	 • William Carrier	 upper body injury (DTD)
12	2018-02-08	 Golden Knights	 	 • William Carrier	 placed on IR with upper body injury
13	2018-04-03	 Golden Knights	 • William Carrier	 	 activated from IR
14	2018-05-06	 Golden Knights	 	 • William Carrier	 undisclosed injury (out for season)
15	2019-01-06	 Golden Knights	 	 • William Carrier	 illness (DTD)
16	2019-01-07	 Golden Knights	 	 • William Carrier	 placed on IR with illness
17	2019-02-09	 Golden Knights	 • William Carrier	 	 activated from IR
18	2019-02-18	 Golden Knights	 	 • William Carrier	 upper body injury (out indefinitely)
19	2019-03-23	 Golden Knights	 • William Carrier	 	 returned to lineup
