	 Date	 Team	 Acquired	 Relinquished	 Notes
0	2013-10-24	 Wild	 	 • Jonas Brodin	 cheekbone injury (DTD)
1	2013-11-01	 Wild	 • Jonas Brodin	 	 returned to lineup
2	2014-10-28	 Wild	 	 • Jonas Brodin	 upper body injury (DTD)
3	2014-11-01	 Wild	 • Jonas Brodin	 	 returned to lineup
4	2014-11-13	 Wild	 	 • Jonas Brodin	 placed on IR with illness
5	2014-11-28	 Wild	 • Jonas Brodin	 	 activated from IR
6	2014-12-29	 Wild	 	 • Jonas Brodin	 upper body injury (DTD)
7	2015-01-02	 Wild	 • Jonas Brodin	 	 returned to lineup
8	2015-11-19	 Wild	 	 • Jonas Brodin	 illness (DTD)
9	2015-11-21	 Wild	 • Jonas Brodin	 	 returned to lineup
10	2016-02-05	 Wild	 	 • Jonas Brodin	 placed on IR with fractured foot
11	2016-02-29	 Wild	 • Jonas Brodin	 	 activated from IR
12	2017-01-18	 Wild	 	 • Jonas Brodin	 fractured finger (DTD)
13	2017-02-13	 Wild	 	 • Jonas Brodin	 placed on IR with fractured finger
14	2017-02-18	 Wild	 • Jonas Brodin	 	 activated from IR
15	2018-02-07	 Wild	 	 • Jonas Brodin	 surgery on hand (out indefinitely)
16	2018-02-27	 Wild	 • Jonas Brodin	 	 returned to lineup
