	 Date	 Team	 Acquired	 Relinquished	 Notes
0	2005-12-31	 Canucks	 	 • Ed Jovanovski	 foot injury (groin per CBC) (DTD)
1	2006-01-23	 Canucks	 • Ed Jovanovski	 	 returned to lineup
2	2006-01-25	 Canucks	 	 • Ed Jovanovski	 groin injury (DTD)
3	2006-02-02	 Canucks	 	 • Ed Jovanovski	 abdominal surgery (out indefinitely)
4	2006-04-08	 Canucks	 • Ed Jovanovski	 	 returned to lineup
5	2006-12-21	 Coyotes	 	 • Ed Jovanovski	 groin injury (DTD)
6	2007-01-01	 Coyotes	 • Ed Jovanovski	 	 returned to lineup
7	2007-02-16	 Coyotes	 	 • Ed Jovanovski	 groin injury (out indefinitely)
8	2007-02-22	 Coyotes	 	 • Ed Jovanovski	 collarbone injury (DTD)
9	2007-03-02	 Coyotes	 	 • Ed Jovanovski	 abdominal surgery (out remainder of regular season)
10	2008-03-20	 Coyotes	 	 • Ed Jovanovski	 kidney injury (DTD)
11	2008-03-22	 Coyotes	 • Ed Jovanovski	 	 returned to lineup
12	2008-03-26	 Coyotes	 	 • Ed Jovanovski	 lacerated calf (out for season)
13	2009-11-07	 Coyotes	 	 • Ed Jovanovski	 lower body injury (DTD)
14	2009-11-25	 Coyotes	 • Ed Jovanovski	 	 activated from IR
15	2009-11-29	 Coyotes	 	 • Ed Jovanovski	 lower body injury (DTD)
16	2009-12-05	 Coyotes	 • Ed Jovanovski	 	 returned to lineup
17	2010-03-04	 Coyotes	 	 • Ed Jovanovski	 upper body injury (DTD)
18	2010-03-06	 Coyotes	 • Ed Jovanovski	 	 returned to lineup
19	2010-10-17	 Coyotes	 	 • Ed Jovanovski	 upper body injury (DTD)
20	2010-10-21	 Coyotes	 • Ed Jovanovski	 	 returned to lineup
21	2010-11-06	 Coyotes	 	 • Ed Jovanovski	 flu (DTD)
22	2010-11-08	 Coyotes	 • Ed Jovanovski	 	 returned to lineup
23	2010-11-22	 Coyotes	 	 • Ed Jovanovski	 flu (DTD)
24	2010-11-27	 Coyotes	 • Ed Jovanovski	 	 returned to lineup
25	2011-01-15	 Coyotes	 	 • Ed Jovanovski	 lower body injury (DTD)
26	2011-01-25	 Coyotes	 • Ed Jovanovski	 	 returned to lineup
27	2011-02-02	 Coyotes	 	 • Ed Jovanovski	 upper body injury (DTD)
28	2011-02-12	 Coyotes	 • Ed Jovanovski	 	 returned to lineup
29	2011-02-18	 Coyotes	 	 • Ed Jovanovski	 placed on IR with surgery to repair orbital bone
30	2011-04-06	 Coyotes	 • Ed Jovanovski	 	 activated from IR
31	2011-10-20	 Panthers	 	 • Ed Jovanovski	 hip injury (DTD)
32	2011-10-22	 Panthers	 • Ed Jovanovski	 	 returned to lineup
33	2012-01-17	 Panthers	 	 • Ed Jovanovski	 placed on IR with broken hand (surgery)
34	2012-02-23	 Panthers	 • Ed Jovanovski	 	 activated from IR
35	2013-01-22	 Panthers	 	 • Ed Jovanovski	 undisclosed injury (DTD)
36	2013-01-24	 Panthers	 • Ed Jovanovski	 	 returned to lineup
37	2013-01-31	 Panthers	 	 • Ed Jovanovski	 knee injury (DTD)
38	2013-02-03	 Panthers	 	 • Ed Jovanovski	 placed on IR with knee injury
39	2013-03-16	 Panthers	 • Ed Jovanovski	 	 activated from IR
40	2013-03-17	 Panthers	 	 • Ed Jovanovski	 placed on IR with undisclosed injury (out for season)
41	2013-09-30	 Panthers	 	 • Ed Jovanovski	 placed on IR with hip injury
42	2014-01-03	 Panthers	 • Ed Jovanovski	 	 activated from IR
